probe,symbol,logFC,AveExpr,t,P.Value,adj.P.Val,direction
8133876,CD36,5.780169999999999,7.370281666666667,85.2934682914276,8.015719555205197e-12,2.668994140296674e-07,Up
7965335,DUSP6,-4.212683333333333,9.106625,-71.43392832224029,2.769973180431065e-11,4.6115898494406587e-07,Down
7972217,SPRY2,-3.8016633333333334,9.726468333333333,-59.150833682120535,1.0357155707412655e-10,1.0227896543150132e-06,Down
7972259,DCT,5.633026666666666,8.763219999999999,57.72202971318605,1.2286868538487108e-10,1.0227896543150132e-06,Up
8129573,MOXD1,3.2630633333333314,10.171635,52.415586695291324,2.409964282544566e-10,1.6048916143177284e-06,Up
8015806,ETV4,-3.8432466666666665,9.667076666666667,-46.40390640305299,5.641697690493971e-10,3.0051776250694886e-06,Down
7909568,DTL,-3.1932800000000023,10.510593333333333,-45.65749948826843,6.317759370359618e-10,3.0051776250694886e-06,Down
8000574,NUPR1,3.0309966666666655,9.596868333333333,43.90910625186708,8.296598497336579e-10,3.2625092275563382e-06,Up
8092578,ETV5,-4.078519999999998,8.86754,-42.43906262946745,1.052152463636855e-09,3.2625092275563382e-06,Down
8018761,,3.875119999999999,9.478006666666667,41.956915873244874,1.1394461301416244e-09,3.2625092275563382e-06,Up
8180372,,3.875119999999999,9.478006666666667,41.956915873244874,1.1394461301416244e-09,3.2625092275563382e-06,Up
8025828,LDLR,-3.0536433333333357,10.650445,-41.71643834503749,1.18605954528482e-09,3.2625092275563382e-06,Down
7942123,CCND1,-2.488156666666665,10.616455,-41.29192061226692,1.2737670047821844e-09,3.2625092275563382e-06,Down
8178435,IER3,-2.640610000000001,10.815528333333333,-38.9043430018198,1.9295791844734043e-09,4.589228436100782e-06,Down
8102938,RNF150,2.434346666666665,9.490226666666667,37.33101471532255,2.5729242568033293e-09,5.070854805814818e-06,Up
7904726,TXNIP,2.948543333333327,11.312761666666667,37.04658833110641,2.7137775277301507e-09,5.070854805814818e-06,Up
8095744,,-3.0959100000000017,7.133015,-36.83873706601247,2.8222876703585054e-09,5.070854805814818e-06,Down
8179704,,-2.5177466666666684,10.543393333333334,-36.707155005704415,2.8935411992215977e-09,5.070854805814818e-06,Down
8124848,,-2.5177466666666684,10.543393333333334,-36.707155005704415,2.8935411992215977e-09,5.070854805814818e-06,Down
7944722,UBASH3B,-2.252009999999998,9.675061666666666,-35.476259347907174,3.6696819299689313e-09,5.945105190151861e-06,Down
8103736,SCRG1,2.5813766666666664,7.491898333333334,35.36683346195735,3.749503228314536e-09,5.945105190151861e-06,Up
8003667,SERPINF1,3.1068299999999986,9.219851666666669,34.84252936808774,4.160560457051437e-09,6.1185032850022395e-06,Up
7907893,MR1,2.5318266666666673,8.73486,34.70632320647776,4.275614530994862e-09,6.1185032850022395e-06,Up
8114797,SPRY4,-3.7528900000000003,8.564955,-34.5077960389831,4.449880760648455e-09,6.1185032850022395e-06,Down
8105302,FST,-3.58683,10.077318333333334,-34.350330581135005,4.5938847981816975e-09,6.1185032850022395e-06,Down
8052872,,-2.518929999999997,9.914235,-34.052756842460454,4.8808006663199105e-09,6.250616145632848e-06,Down
7922474,KIAA0040,-1.9377666666666669,8.426910000000001,-33.79806026853703,5.142712172029552e-09,6.342106933039556e-06,Down
8139033,,1.980756666666669,6.853921666666666,33.588028148355896,5.3708137416388095e-09,6.38685661269098e-06,Up
7951077,SESN3,2.8012533333333343,8.407876666666667,33.34352665139888,5.651042433481485e-09,6.4086281420515925e-06,Up
8141374,AZGP1,2.0795633333333328,9.215151666666666,33.24053155885916,5.774059052213346e-09,6.4086281420515925e-06,Up
7989937,LCTL,2.208340000000001,9.888163333333333,32.92097610716198,6.175646961010009e-09,6.511992517439156e-06,Up
7896727,,2.16744333333333,10.323778333333335,32.858125528513476,6.25833440123894e-09,6.511992517439156e-06,Up
8063923,SLCO4A1,-2.570270000000004,9.705831666666668,-32.59797340462697,6.6143150565438565e-09,6.6147599313314865e-06,Down
8097449,PCDH10,2.0650233333333383,10.397321666666665,32.49993959600294,6.754417444973137e-09,6.6147599313314865e-06,Up
8079037,TRAK1,1.9450000000000003,10.317466666666666,32.11382591279114,7.340179982439273e-09,6.983027796436584e-06,Up
8151871,CCNE2,-2.6031433333333363,9.777895000000001,-31.75169534126958,7.942808516635936e-09,7.163265771272762e-06,Down
8120967,,-2.8628466666666657,8.176693333333334,-31.61039583081649,8.193126808082592e-09,7.163265771272762e-06,Down
8177222,CD24,3.322533333333333,6.980946666666667,31.562618738388007,8.279795099948003e-09,7.163265771272762e-06,Up
8150428,SFRP1,-2.1037666666666675,9.86295,-31.473951337109852,8.443428357000855e-09,7.163265771272762e-06,Down
8109161,ARHGEF37,2.1357200000000005,8.512490000000001,31.388149169876858,8.605298701111526e-09,7.163265771272762e-06,Up
8044499,SLC20A1,-2.4389066666666643,10.856713333333332,-31.08268969714619,9.211022839431476e-09,7.360245510449841e-06,Down
7916609,JUN,2.2440199999999977,9.643390000000002,30.935747116636556,9.519658638745675e-09,7.360245510449841e-06,Up
8089714,LSAMP,2.649573333333334,9.159646666666665,30.798573532873867,9.818474154547059e-09,7.360245510449841e-06,Up
8161654,TRPM3,2.9249133333333326,8.86901,30.66311892352785,1.0124100528181804e-08,7.360245510449841e-06,Up
8058857,IGFBP5,2.7494366666666643,9.521815000000002,30.625115021974057,1.021179035294334e-08,7.360245510449841e-06,Up
7940147,FAM111B,-3.708439999999999,8.507413333333334,-30.575753207858597,1.0326985190917149e-08,7.360245510449841e-06,Down
7949364,CDCA5,-2.168806666666668,8.81451,-30.549324703079332,1.0389270474551537e-08,7.360245510449841e-06,Down
7926259,MCM10,-2.8264399999999976,9.098646666666665,-30.444636986210508,1.064024397658336e-08,7.3810042435061695e-06,Down
7933772,ANK3,2.3955299999999986,9.879968333333332,29.924158802423356,1.1995513389065714e-08,7.620530531151805e-06,Up
8148049,NOV,2.658350000000002,10.193658333333332,29.870883450097995,1.2145032263293769e-08,7.620530531151805e-06,Up
7963054,,1.8295433333333297,10.769395000000001,29.812817544710423,1.2310425134347192e-08,7.620530531151805e-06,Up
8086880,CDC25A,-2.544309999999999,8.649888333333333,-29.75835868057612,1.24678846835736e-08,7.620530531151805e-06,Down
8157524,TLR4,-2.527596666666665,10.026268333333332,-29.68075922257061,1.2696241360850985e-08,7.620530531151805e-06,Down
8098441,TENM3,1.7062333333333286,11.11645,29.603521397359717,1.2928288436777798e-08,7.620530531151805e-06,Up
8007931,ITGB3,-3.1619999999999964,10.259533333333332,-29.602364788956734,1.2931799872514555e-08,7.620530531151805e-06,Down
8040223,RRM2,-2.443660000000002,10.301103333333334,-29.59060826697283,1.2967554256714045e-08,7.620530531151805e-06,Down
7985317,,-3.337559999999998,7.8974633333333335,-29.565162993817054,1.3045326614279151e-08,7.620530531151805e-06,Down
8140534,SEMA3C,2.3409666666666626,11.557583333333334,29.155295505330237,1.4374454703174239e-08,8.252176176751598e-06,Up
8072626,TIMP3,-1.7039333333333353,12.004933333333334,-28.992745338843044,1.494390990857619e-08,8.43368420721799e-06,Down
